resort,region,country,latitude,longitude,rating,beginner,intermediate,advanced,elev_base,elev_summit,elev_vertical,longest_run,snow_making,lifts_double,lifts_quad,lifts_surface,terrain_apres,terrain_family,terrain_allmnt,terrain_park,ratingcount
49-degrees-north,washington,usa,48.301098,-117.56292,3.1,0.3,0.4,0.25,3932,5774,1851,2,0,5,1,1,2.1,3.7,2.6,2.3,56
afton-alps,minnesota,usa,44.854465,-92.790695,3.1,0.42,0.42,0.17,1180,1530,350,0.5,250,14,1,4,2,3.7,2.6,2.4,44
alpental,washington,usa,47.444153,-121.42593,3.1,0.04,0.17,0.38,3140,5420,2280,1.2,0,3,0,1,2,3.5,2.7,2.1,42
alpine-valley,ohio,usa,41.526871,-81.259743,3.1,0.33,0.34,0.33,1260,1500,230,0.2,72,1,1,1,2,3.7,2.6,2.2,21
alpine-valley-resort,wisconsin,usa,42.735817,-88.42807,3.1,0.4,0.4,0.2,1020,1260,388,0.2,90,1,0,5,2,3.5,2.4,2.4,62
alpine-valley-ski-area,michigan,usa,42.652969,-83.523041,3.2,0.34,0.36,0.3,126,500,240,0.2,100,5,1,6,2.1,3.7,2.7,2.3,23
alta-ski-area,utah,usa,40.590809,-111.62876,3.8,0.25,0.4,0.35,8530,10550,2020,1.3,50,3,0,4,2.9,3.6,3.8,2.8,118
alyeska-resort,alaska,usa,60.970444,-149.09872,3.1,0.11,0.52,0.37,250,2750,2500,1,480,0,2,2,2,3.5,2.6,2.2,37
andes-tower-hills-ski-area,minnesota,usa,45.850975,-95.630501,2.6,0.25,0.25,0.44,1330,1620,290,0.2,35,0,1,2,1.4,3.3,2.4,2.1,13
angel-fire-resort,new-mexico,usa,36.387672,-105.27328,3.3,0.21,0.56,0.23,8600,10677,2077,3,230,3,0,2,2.3,3.6,2.7,2.7,95
anthony-lakes-mountain-resort,oregon,usa,44.999367,-118.05424,3.2,0.2,0.38,0,7100,8000,900,1.5,0,0,0,2,2,3.7,2.7,2.4,12
apex-mountain,british-columbia,can,52.215,-117.82166,3.2,NA,NA,NA,5197,7198,2001,3.1,60,0,0,2,2.2,3.7,3,2.5,20
appalachian-ski-mtn,north-carolina,usa,36.174412,-81.66256,3.2,0.25,0.5,0.25,3635,4000,365,0.5,27,1,2,2,2.1,3.8,2.6,2.4,35
apple-mountain,michigan,usa,43.471996,-84.101715,2.7,0.4,0.4,0.2,600,820,220,0,42,0,1,5,1.6,3.5,2.4,2.2,4
arapahoe-basin-ski-area,colorado,usa,39.642311,-105.87168,3.4,0.1,0.3,0.37,10780,13050,2270,1.5,125,3,1,2,2.3,3.7,3,2.4,107
arizona-snowbowl,arizona,usa,35.330887,-111.7103,3.1,0.22,0.53,0.24,9200,11500,2300,2,104,2,1,2,2.1,3.6,2.7,2.4,82
aspen-snowmass,colorado,usa,39.202946,-106.965,4.3,0.1,0.43,0.19,7880,12510,4406,5.3,658,10,2,12,4,4,4.2,4,45
attitash,new-hampshire,usa,44.082783,-71.229401,3.2,0.26,0.46,0.28,600,2350,1750,3,240,3,1,1,2.2,3.7,2.8,2.4,36
bear-creek-mountain-resort,pennsylvania,usa,40.475334,-75.625298,3.2,0.3,0.4,0.3,600,1100,510,1,86,0,3,2,2.4,3.6,2.3,2.5,55
bear-mountain,california,usa,34.229057,-116.86095,3.3,0.42,0.39,0.03,7140,8805,1665,1.5,198,3,3,3,2.2,3.7,2.8,2.5,40
bear-valley,california,usa,38.492558,-120.04422,3.4,0.25,0.4,0.35,6600,8500,1900,1.2,100,6,0,1,2.2,3.9,3.1,2.6,39
beaver-creek,colorado,usa,39.604225,-106.51652,3.8,0.19,0.43,0.21,8100,11440,3340,2,680,2,0,9,3.6,3.9,3.8,3.5,83
beaver-mountain,utah,usa,41.964096,-111.55799,3.3,0.35,0.4,0.25,7232,8600,1600,0.8,0,3,0,1,2.2,3.8,2.7,2.3,15
